"Label (Grouping)","Alabama!!Estimate","Alabama!!Percent","Alaska!!Estimate","Alaska!!Percent","Arizona!!Estimate","Arizona!!Percent","Arkansas!!Estimate","Arkansas!!Percent","California!!Estimate","California!!Percent","Colorado!!Estimate","Colorado!!Percent","Connecticut!!Estimate","Connecticut!!Percent","Delaware!!Estimate","Delaware!!Percent","District of Columbia!!Estimate","District of Columbia!!Percent","Florida!!Estimate","Florida!!Percent","Georgia!!Estimate","Georgia!!Percent","Hawaii!!Estimate","Hawaii!!Percent","Idaho!!Estimate","Idaho!!Percent","Illinois!!Estimate","Illinois!!Percent","Indiana!!Estimate","Indiana!!Percent","Iowa!!Estimate","Iowa!!Percent","Kansas!!Estimate","Kansas!!Percent","Kentucky!!Estimate","Kentucky!!Percent","Louisiana!!Estimate","Louisiana!!Percent","Maine!!Estimate","Maine!!Percent","Maryland!!Estimate","Maryland!!Percent","Massachusetts!!Estimate","Massachusetts!!Percent","Michigan!!Estimate","Michigan!!Percent","Minnesota!!Estimate","Minnesota!!Percent","Mississippi!!Estimate","Mississippi!!Percent","Missouri!!Estimate","Missouri!!Percent","Montana!!Estimate","Montana!!Percent","Nebraska!!Estimate","Nebraska!!Percent","Nevada!!Estimate","Nevada!!Percent","New Hampshire!!Estimate","New Hampshire!!Percent","New Jersey!!Estimate","New Jersey!!Percent","New Mexico!!Estimate","New Mexico!!Percent","New York!!Estimate","New York!!Percent","North Carolina!!Estimate","North Carolina!!Percent","North Dakota!!Estimate","North Dakota!!Percent","Ohio!!Estimate","Ohio!!Percent","Oklahoma!!Estimate","Oklahoma!!Percent","Oregon!!Estimate","Oregon!!Percent","Pennsylvania!!Estimate","Pennsylvania!!Percent","Rhode Island!!Estimate","Rhode Island!!Percent","South Carolina!!Estimate","South Carolina!!Percent","South Dakota!!Estimate","South Dakota!!Percent","Tennessee!!Estimate","Tennessee!!Percent","Texas!!Estimate","Texas!!Percent","Utah!!Estimate","Utah!!Percent","Vermont!!Estimate","Vermont!!Percent","Virginia!!Estimate","Virginia!!Percent","Washington!!Estimate","Washington!!Percent","West Virginia!!Estimate","West Virginia!!Percent","Wisconsin!!Estimate","Wisconsin!!Percent","Wyoming!!Estimate","Wyoming!!Percent","Puerto Rico!!Estimate","Puerto Rico!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","5,039,877","5,039,877","732,673","732,673","7,276,316","7,276,316","3,025,891","3,025,891","39,237,836","39,237,836","5,812,069","5,812,069","3,605,597","3,605,597","1,003,384","1,003,384","670,050","670,050","21,781,128","21,781,128","10,799,566","10,799,566","1,441,553","1,441,553","1,900,923","1,900,923","12,671,469","12,671,469","6,805,985","6,805,985","3,193,079","3,193,079","2,934,582","2,934,582","4,509,394","4,509,394","4,624,047","4,624,047","1,372,247","1,372,247","6,165,129","6,165,129","6,984,723","6,984,723","10,050,811","10,050,811","5,707,390","5,707,390","2,949,965","2,949,965","6,168,187","6,168,187","1,104,271","1,104,271","1,963,692","1,963,692","3,143,991","3,143,991","1,388,992","1,388,992","9,267,130","9,267,130","2,115,877","2,115,877","19,835,913","19,835,913","10,551,162","10,551,162","774,948","774,948","11,780,017","11,780,017","3,986,639","3,986,639","4,246,155","4,246,155","12,964,056","12,964,056","1,095,610","1,095,610","5,190,705","5,190,705","895,376","895,376","6,975,218","6,975,218","29,527,941","29,527,941","3,337,975","3,337,975","645,570","645,570","8,642,274","8,642,274","7,738,692","7,738,692","1,782,959","1,782,959","5,895,908","5,895,908","578,803","578,803","3,263,584","3,263,584"
"        Male","2,445,896","48.5%","383,121","52.3%","3,629,620","49.9%","1,493,681","49.4%","19,618,934","50.0%","2,943,037","50.6%","1,768,045","49.0%","485,908","48.4%","319,025","47.6%","10,714,520","49.2%","5,270,144","48.8%","725,604","50.3%","954,313","50.2%","6,264,364","49.4%","3,374,931","49.6%","1,603,267","50.2%","1,474,610","50.2%","2,229,328","49.4%","2,260,866","48.9%","673,483","49.1%","3,003,091","48.7%","3,408,252","48.8%","4,976,869","49.5%","2,860,668","50.1%","1,435,423","48.7%","3,045,181","49.4%","560,911","50.8%","986,019","50.2%","1,585,207","50.4%","693,234","49.9%","4,563,560","49.2%","1,052,355","49.7%","9,696,573","48.9%","5,149,323","48.8%","399,544","51.6%","5,808,575","49.3%","1,984,707","49.8%","2,121,532","50.0%","6,399,632","49.4%","536,589","49.0%","2,521,689","48.6%","451,950","50.5%","3,413,181","48.9%","14,739,011","49.9%","1,694,770","50.8%","320,293","49.6%","4,273,931","49.5%","3,897,320","50.4%","887,360","49.8%","2,955,249","50.1%","296,007","51.1%","1,543,991","47.3%"
"        Female","2,593,981","51.5%","349,552","47.7%","3,646,696","50.1%","1,532,210","50.6%","19,618,902","50.0%","2,869,032","49.4%","1,837,552","51.0%","517,476","51.6%","351,025","52.4%","11,066,608","50.8%","5,529,422","51.2%","715,949","49.7%","946,610","49.8%","6,407,105","50.6%","3,431,054","50.4%","1,589,812","49.8%","1,459,972","49.8%","2,280,066","50.6%","2,363,181","51.1%","698,764","50.9%","3,162,038","51.3%","3,576,471","51.2%","5,073,942","50.5%","2,846,722","49.9%","1,514,542","51.3%","3,123,006","50.6%","543,360","49.2%","977,673","49.8%","1,558,784","49.6%","695,758","50.1%","4,703,570","50.8%","1,063,522","50.3%","10,139,340","51.1%","5,401,839","51.2%","375,404","48.4%","5,971,442","50.7%","2,001,932","50.2%","2,124,623","50.0%","6,564,424","50.6%","559,021","51.0%","2,669,016","51.4%","443,426","49.5%","3,562,037","51.1%","14,788,930","50.1%","1,643,205","49.2%","325,277","50.4%","4,368,343","50.5%","3,841,372","49.6%","895,599","50.2%","2,940,659","49.9%","282,796","48.9%","1,719,593","52.7%"
"        Sex ratio (males per 100 females)","94.3","(X)","109.6","(X)","99.5","(X)","97.5","(X)","100.0","(X)","102.6","(X)","96.2","(X)","93.9","(X)","90.9","(X)","96.8","(X)","95.3","(X)","101.3","(X)","100.8","(X)","97.8","(X)","98.4","(X)","100.8","(X)","101.0","(X)","97.8","(X)","95.7","(X)","96.4","(X)","95.0","(X)","95.3","(X)","98.1","(X)","100.5","(X)","94.8","(X)","97.5","(X)","103.2","(X)","100.9","(X)","101.7","(X)","99.6","(X)","97.0","(X)","98.9","(X)","95.6","(X)","95.3","(X)","106.4","(X)","97.3","(X)","99.1","(X)","99.9","(X)","97.5","(X)","96.0","(X)","94.5","(X)","101.9","(X)","95.8","(X)","99.7","(X)","103.1","(X)","98.5","(X)","97.8","(X)","101.5","(X)","99.1","(X)","100.5","(X)","104.7","(X)","89.8","(X)"
"        Under 5 years","290,091","5.8%","46,198","6.3%","402,255","5.5%","179,924","5.9%","2,210,235","5.6%","307,837","5.3%","177,577","4.9%","53,039","5.3%","40,809","6.1%","1,091,954","5.0%","625,969","5.8%","81,220","5.6%","113,051","5.9%","703,551","5.6%","408,030","6.0%","187,257","5.9%","177,567","6.1%","259,278","5.7%","281,958","6.1%","61,034","4.4%","350,650","5.7%","346,175","5.0%","545,979","5.4%","330,734","5.8%","173,282","5.9%","353,946","5.7%","56,091","5.1%","124,596","6.3%","177,077","5.6%","62,220","4.5%","516,200","5.6%","115,102","5.4%","1,092,698","5.5%","582,801","5.5%","51,150","6.6%","668,935","5.7%","241,605","6.1%","210,330","5.0%","678,078","5.2%","52,767","4.8%","275,793","5.3%","58,079","6.5%","397,258","5.7%","1,891,627","6.4%","234,281","7.0%","27,160","4.2%","480,992","5.6%","432,524","5.6%","88,784","5.0%","315,264","5.3%","30,233","5.2%","103,841","3.2%"
"        5 to 9 years","298,540","5.9%","52,071","7.1%","446,309","6.1%","196,276","6.5%","2,358,988","6.0%","336,492","5.8%","196,796","5.5%","58,410","5.8%","35,833","5.3%","1,146,199","5.3%","665,082","6.2%","83,657","5.8%","129,930","6.8%","786,184","6.2%","427,997","6.3%","201,486","6.3%","192,659","6.6%","278,095","6.2%","296,065","6.4%","69,073","5.0%","374,919","6.1%","365,253","5.2%","585,574","5.8%","359,171","6.3%","176,878","6.0%","375,051","6.1%","67,195","6.1%","131,276","6.7%","190,763","6.1%","67,409","4.9%","551,684","6.0%","129,840","6.1%","1,107,024","5.6%","617,727","5.9%","51,932","6.7%","716,330","6.1%","266,404","6.7%","234,955","5.5%","723,022","5.6%","55,659","5.1%","308,096","5.9%","63,078","7.0%","425,066","6.1%","2,055,807","7.0%","264,290","7.9%","30,530","4.7%","514,219","6.0%","467,851","6.0%","97,530","5.5%","344,082","5.8%","36,056","6.2%","150,197","4.6%"
"        10 to 14 years","337,730","6.7%","52,507","7.2%","476,245","6.5%","204,485","6.8%","2,647,372","6.7%","374,046","6.4%","212,689","5.9%","59,908","6.0%","33,735","5.0%","1,291,404","5.9%","777,105","7.2%","91,875","6.4%","142,097","7.5%","805,013","6.4%","469,282","6.9%","216,296","6.8%","209,418","7.1%","299,116","6.6%","320,217","6.9%","73,257","5.3%","397,263","6.4%","401,988","5.8%","632,071","6.3%","388,627","6.8%","217,287","7.4%","412,491","6.7%","70,386","6.4%","144,006","7.3%","208,610","6.6%","78,890","5.7%","592,878","6.4%","142,722","6.7%","1,192,942","6.0%","689,760","6.5%","51,739","6.7%","758,004","6.4%","282,920","7.1%","260,324","6.1%","796,302","6.1%","61,626","5.6%","330,103","6.4%","62,294","7.0%","445,462","6.4%","2,206,526","7.5%","277,848","8.3%","37,604","5.8%","559,020","6.5%","492,114","6.4%","110,454","6.2%","384,146","6.5%","41,288","7.1%","176,442","5.4%"
"        15 to 19 years","338,347","6.7%","50,263","6.9%","482,998","6.6%","206,963","6.8%","2,579,680","6.6%","375,792","6.5%","244,686","6.8%","63,288","6.3%","35,516","5.3%","1,245,029","5.7%","771,330","7.1%","76,899","5.3%","138,443","7.3%","843,352","6.7%","472,765","6.9%","225,888","7.1%","209,868","7.2%","306,094","6.8%","302,036","6.5%","76,221","5.6%","390,410","6.3%","460,404","6.6%","656,015","6.5%","376,524","6.6%","215,082","7.3%","411,180","6.7%","68,883","6.2%","137,800","7.0%","189,336","6.0%","85,699","6.2%","579,783","6.3%","145,753","6.9%","1,216,068","6.1%","709,711","6.7%","52,465","6.8%","771,242","6.5%","277,643","7.0%","255,395","6.0%","819,892","6.3%","74,948","6.8%","351,834","6.8%","63,224","7.1%","449,515","6.4%","2,136,373","7.2%","270,529","8.1%","41,810","6.5%","570,825","6.6%","463,399","6.0%","108,222","6.1%","388,505","6.6%","40,161","6.9%","205,814","6.3%"
"        20 to 24 years","323,961","6.4%","45,855","6.3%","488,212","6.7%","200,480","6.6%","2,531,692","6.5%","373,720","6.4%","239,473","6.6%","57,635","5.7%","45,383","6.8%","1,244,420","5.7%","725,809","6.7%","86,215","6.0%","119,836","6.3%","802,672","6.3%","468,280","6.9%","224,891","7.0%","202,937","6.9%","288,944","6.4%","306,585","6.6%","77,584","5.7%","378,627","6.1%","476,148","6.8%","659,277","6.6%","353,592","6.2%","199,269","6.8%","388,885","6.3%","74,958","6.8%","133,478","6.8%","185,379","5.9%","86,456","6.2%","552,158","6.0%","131,911","6.2%","1,240,087","6.3%","705,531","6.7%","60,923","7.9%","747,533","6.3%","278,178","7.0%","254,516","6.0%","784,817","6.1%","77,146","7.0%","326,481","6.3%","58,324","6.5%","443,384","6.4%","2,012,920","6.8%","280,300","8.4%","45,761","7.1%","574,546","6.6%","481,655","6.2%","112,530","6.3%","387,572","6.6%","35,717","6.2%","225,881","6.9%"
