"State","Estimate","Percent"
"Alabama","885,809","17.60%"
"Alaska","98,410","13.40%"
"Arizona","1,333,985","18.30%"
"Arkansas","525,153","17.40%"
"California","5,964,526","15.20%"
"Colorado","880,167","15.10%"
"Connecticut","649,172","18.00%"
"Delaware","201,551","20.10%"
"District.of.Columbia","85,615","12.80%"
"Florida","4,598,996","21.10%"
"Georgia","1,585,687","14.70%"
"Hawaii","282,567","19.60%"
"Idaho","314,010","16.50%"
"Illinois","2,103,309","16.60%"
"Indiana","1,115,579","16.40%"
"Iowa","567,581","17.80%"
"Kansas","489,676","16.70%"
"Kentucky","768,416","17.00%"
"Louisiana","766,330","16.60%"
"Maine","297,101","21.70%"
"Maryland","1,003,383","16.30%"
"Massachusetts","1,216,447","17.40%"
"Michigan","1,823,284","18.10%"
"Minnesota","959,272","16.80%"
"Mississippi","496,945","16.80%"
"Missouri","1,084,768","17.60%"
"Montana","217,298","19.70%"
"Nebraska","322,833","16.40%"
"Nevada","519,568","16.50%"
"New.Hampshire","267,741","19.30%"
"New.Jersey","1,563,621","16.90%"
"New.Mexico","391,797","18.50%"
"New.York","3,477,337","17.50%"
"North.Carolina","1,796,369","17.00%"
"North.Dakota","123,840","16.00%"
"Ohio","2,102,569","17.80%"
"Oklahoma","645,174","16.20%"
"Oregon","789,896","18.60%"
"Pennsylvania","2,464,903","19.00%"
"Rhode.Island","200,201","18.30%"
"South.Carolina","967,223","18.60%"
"South.Dakota","157,883","17.60%"
"Tennessee","1,187,354","17.00%"
"Texas","3,892,411","13.20%"
"Utah","388,120","11.60%"
"Vermont","133,173","20.60%"
"Virginia","1,406,480","16.30%"
"Washington","1,251,640","16.20%"
"West.Virginia","368,775","20.70%"
"Wisconsin","1,054,247","17.90%"
"Wyoming","103,822","17.90%"
"Puerto.Rico","740,486","22.70%"
