"state","year","death_rate","gdp","pce","rpp","employment","hc_exp","income","edu_level","diabetes_rate","cardio_rate","smoke_rate","elder_rate","obesity_rate"
"Alabama",2018,44.9,45176.5980635807,37015.4680716683,87.154,0.5509,6064.90071672026,44902.3780398107,0.255,0.145,0.096,0.192,0.17,36.2
"Alabama",2019,44.6,45877.2410178282,37280.1352590204,88.288,0.5531,6386.97091788297,45608.4157542495,0.263,0.14,0.084,0.202,0.174,36.1
"Alabama",2020,50.8,44139.4199026029,36212.9578432242,87.451,0.5309,5987.04684735465,47598.4435228473,0.278,0.167,0.101,0.159,0.178,39
"Alabama",2021,46.8,45920.7270875191,38838.1348658949,88.139,0.5484,6677.56996946045,48887.4116161166,0.274,0.174,0.1,0.148,0.176,39.9
"Alaska",2018,27.5,71387.3158681556,44025.9597164618,104.514,0.6186,10258.3320977393,52968.4862318555,0.302,0.088,0.05,0.191,0.119,29.5
"Alaska",2019,25.3,71527.1104306639,45645.1756214587,102.82,0.6216,10809.5879269218,54604.7064773869,0.302,0.073,0.04,0.174,0.124,30.5
"Alaska",2020,26.8,68690.1625409491,43641.9651177545,100.789,0.5878,9755.45862252924,56161.1519900453,0.319,0.09,0.061,0.165,0.131,31.9
"Alaska",2021,26.4,69494.7574307188,44901.4004701831,104.439,0.6035,10877.411867902,54553.3668763331,0.328,0.092,0.063,0.152,0.134,33.5
"Arizona",2018,33,48393.0062262993,36154.6845889312,97.517,0.5385,5986.56836020667,42008.814164356,0.297,0.108,0.068,0.14,0.176,29.5
"Arizona",2019,32.3,49410.5898058683,36691.5350603685,97.847,0.5399,6250.96428395279,43551.1230894126,0.302,0.109,0.064,0.149,0.18,31.4
"Arizona",2020,32.7,50502.2811462431,36439.1611465439,99.323,0.546,6285.3702320478,47537.7729321807,0.33,0.121,0.075,0.127,0.185,30.9
"Arizona",2021,30.5,53793.7806792875,40191.320513754,96.721,0.5625,6934.68038068642,49844.408928052,0.324,0.119,0.075,0.124,0.183,31.3
"Arkansas",2018,38.9,41987.5118490577,35772.0103411166,87.199,0.5509,6243.31128375839,45846.890737484,0.233,0.139,0.102,0.227,0.168,37.1
"Arkansas",2019,39.5,42155.1565310405,35791.0918005278,87.72,0.5514,6566.92747441517,45853.8062776774,0.233,0.136,0.09,0.202,0.174,37.4
"Arkansas",2020,45.6,42486.0369020584,35399.23594857,88.356,0.544,6314.22320055604,48136.965259381,0.249,0.156,0.116,0.187,0.177,36.4
"Arkansas",2021,43.2,44769.9267070481,37726.4522367329,89.445,0.5569,6974.02548510265,49062.9835918104,0.253,0.159,0.113,0.178,0.174,38.7
"California",2018,37.1,72246.72002556,38342.7017686161,111.896,0.6101,7757.55907238198,50959.8473330572,0.342,0.104,0.049,0.112,0.143,25.8
"California",2019,37,74984.1916006599,39767.6207688947,110.989,0.6131,8219.14271945671,53367.5414820371,0.35,0.101,0.047,0.1,0.148,26.2
"California",2020,40.6,74051.2529944,37622.6129068573,111.919,0.5862,7829.28754905523,56970.2791931264,0.369,0.099,0.057,0.083,0.152,30.3
"California",2021,39.5,80376.7218504074,41165.0606873655,111.797,0.6115,8869.65944937626,59593.2385442901,0.362,0.121,0.053,0.089,0.152,27.6
"Colorado",2018,29.6,64169.0535023098,42071.9953149437,100.162,0.6779,6738.7569806267,53867.3062876639,0.417,0.07,0.045,0.145,0.142,23
"Colorado",2019,33.4,66611.1452235352,42072.8263980151,102.419,0.6763,6988.16545853118,55074.1343239211,0.427,0.07,0.04,0.135,0.147,23.8
"Colorado",2020,36.9,65848.0189252472,40769.5253043934,103.871,0.6606,6567.60356551104,56786.5110076035,0.442,0.088,0.056,0.117,0.151,24.2
