GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1000,Alabama,12481,12855.8,13057.6,13704.9,14610.5,15874.1,16615.8,17678.1,19021.3,19808.5,20625.4,21228.1,22005.8,22563.3,23028.2,24017.4,24711.4,25388.9,26758.8,28152.3,28800.4,29643.3,31316.5,30123,33720.7,35680.2
2000,Alaska,1719.2,1861.1,2023.3,2333.6,2730.2,3082.1,3299.8,3522.2,3860.9,4067.4,4436,4792.6,5093.4,5449.4,5764.5,6018.3,6119.9,6376.4,6657,6926.9,7187.9,7541.3,7907.7,7150,7986,8666.1
4000,Arizona,11339.5,12290.5,12768.2,13843.3,15143.2,16928.6,18757.5,20448.5,22801.7,24211.2,25813.6,27571.5,28951.9,30325.9,31049.7,32156.4,32890.1,33992.1,35977.8,38181.7,40520.8,42852,45499,45128.6,50379.6,52896.7
5000,Arkansas,6557.3,6972,7246.8,7719,8477.7,9224.1,9752.7,10389.3,11149.5,11597.7,12265.1,12858.3,13352.7,13670.8,14016.5,14514.5,14593.8,15254.8,16224.4,17480.4,18354.2,18790.7,19817.7,19032.3,21118.2,22787.5
6000,California,93512.9,97529.5,99565,103280.8,110028,118736.8,127950.3,137785.2,147852.8,156875.7,167305.7,179589.6,189772.1,198184.7,207814.3,216641.2,225992.5,238112.9,258600.4,272200.1,287450,306125.6,324756.6,309269.8,347185,364345.8
8000,Colorado,10320.6,11032.1,11630.7,13005.2,14579.2,16177.7,17136.3,18672.2,19350.7,20444.7,22115.3,23364.5,24719.4,25744.9,26405.6,27194.9,28256.5,30129.9,32700.2,34557.9,36192.7,38352.2,40243,37992.7,42444.1,44940
9000,Connecticut,11948.6,12514.7,13014.8,13713.1,14808.3,16015,16824.3,17928,18779.5,19407.9,20316,21490.8,22530,23370.6,24118.1,24660.8,25177.1,25919.8,26586.5,27696.3,28207,29197.1,30334.2,29082.3,32072.1,33518.3
10000,Delaware,2291.5,2463.9,2560.3,2742.8,3035.6,3335.1,3683.7,4045.7,4423,4657.8,5010.3,5360.3,5596.7,5999.2,6302,6496.2,6777.8,7155.7,7546.6,7759.7,8121.9,8523.5,8896.2,8471.5,9508.1,10490.5
11000,District of Columbia,2954.3,3084.4,3132.2,3276.1,3435.5,3728.4,3864.6,4133.6,4403.4,4564.2,4794.2,5062.5,5318.7,5555.2,5888.4,6072.5,6220.8,6408.9,6791.7,7007.2,7083,7302.1,7549,7075.5,7861.7,8222.2
12000,Florida,46368.6,48707,50752.4,54370.2,59694.3,65682,69832.8,75449.8,80444.8,85742.6,90909.7,94992.6,99509.5,103452.5,106262.6,111179.4,112467.4,118450.1,126311.2,132295.5,138238,146244.9,153880.3,146484.6,169237.8,181837.2
13000,Georgia,21143.1,22268,22984.8,24764.8,26504.9,28589.2,30483.2,32716.3,35036.2,36732,38702,39770.4,41550.8,42602.7,43887.7,46264.3,48348,50537.5,54445.7,57903,60016.7,63029.7,67634.9,65564.3,74576.3,79226.1
15000,Hawaii,3827.6,3884.5,3903,4064.5,4340.2,4545.5,4842.4,5178.5,5660.7,5934.1,6298.4,6687.3,6976.4,7064.3,7239.7,7431,7726.7,8081.9,8662,8981.2,9466.1,9994.7,10653.1,10403.9,11259.5,11793.3
16000,Idaho,2644.3,2845.7,3006.5,3276.7,3625.4,4010.1,4282.6,4586.6,5008.7,5449.5,5993,6277.3,6659.4,7001.1,7460,7779.9,8023.8,8459.6,8958.5,9432.8,9931.1,10429.1,10914.2,10578.4,12173.7,13343.9
17000,Illinois,34997,36664.6,38021,40533.4,43656.3,46872.3,49305.1,52343.5,55737,58684,62987.5,65216,67830.9,71062,73070.5,74994.2,76482,79542,82149.8,86135.3,88201.5,91040.5,94370.3,90365.8,98942,105205.7
18000,Indiana,16023.1,17046.1,17725.4,19116.8,20634.2,22439.2,24017,26253.8,27825.5,29606.1,31718.5,32684.2,35003.4,36207.4,37741.8,40647.8,40354.7,41906.7,43725.2,46524.1,48661.3,50964.1,53978.2,52016.2,58584,64481.1
19000,Iowa,7801.6,8316.1,8728.2,9290.7,9986.1,10707.3,11225.1,11916.9,12674.4,13318.7,14038.9,14725.7,15283.4,15901.2,16430.5,16857.5,17299.8,18154.3,19295.2,20153.6,20598.6,21220.2,22333,21392.6,23718.1,24839.5
20000,Kansas,7341.8,7727.2,8156.7,8522.9,9326.5,9906.9,10451.7,11179.3,11874.5,12508,13393.6,14116.4,14671.8,15147,15686.7,16394.5,16492.5,16740.8,17383.2,17943.7,18515.3,19481,20451.8,19636.9,21668.8,22930.2
21000,Kentucky,11017.6,11682.7,12161.1,12848.5,14014.6,15196.1,15862.8,16850.5,18078.8,19032.4,19877.8,20482.8,21574.5,22293.5,23074.1,23532.7,24273.9,25307.3,26990.3,28455.8,29560.3,30945.4,32283.9,30973.3,36180.7,38621.2
22000,Louisiana,12530.7,12856.5,13130.3,13524.1,14638.3,15884.4,16853.4,18095.6,18810.5,19173.6,20407.5,21545.6,22814.2,23635,24167.2,24533.5,25205.1,26769.3,28235.6,29826.2,31165.2,31984.6,33608.2,33458.6,38423.7,40113.7
23000,Maine,3729.4,3980.9,4202.9,4531.6,4921.2,5370,5719.5,6224.4,6645.9,7019.1,7443.6,7825.3,8114.1,8397.6,8766.9,8879.8,8943.4,9228.2,9835.6,10423.1,10919.2,11446,11948.4,11255.1,12231.9,12776.2
24000,Maryland,15641.9,16393.3,16931.9,18176.4,19985.7,21817.7,23404.1,25288.7,27016.5,28433.5,30223.9,31998.7,33496,34857.4,36180.2,36966.6,37340.8,38940.9,41075.9,42656.9,43987.1,45302.3,46541.2,44358.7,48426.8,50338.8
25000,Massachusetts,24559.7,26059.9,26459,28149,30442,32848.3,35344.5,37451.3,39452.1,42032.4,45025,47358,49445.9,51194.2,52050.5,53148.3,53857.8,55755.6,58701.4,61734.7,63097.4,64617.7,67622.4,63666.1,70884.5,73244.5
26000,Michigan,28159,28685.9,29610.5,31231,32928,35252.9,37395.1,40121.4,42989,45486.8,48067.6,50055.3,51825.4,54241.6,56237.7,58017,58631.6,60349.3,63634.7,66524.1,68117.7,69992.9,73204.2,68255.1,74979.6,77916.6
27000,Minnesota,16693.6,17432.1,18377.9,19639.9,21075.6,23136.7,24319.8,25860.7,27284.7,28608,30212.4,31158.3,32695.1,33914.3,34974,35873.9,37234.7,38888.4,40562.4,42942.4,44073.4,46655.7,47753.9,44322.6,49477.1,51315.6
28000,Mississippi,7155.3,7501.5,7613,8117.5,8817.9,9604.1,10183.7,11130.8,11608.4,12405.2,13406.9,14065.5,14400.8,14979.1,15455,15984.7,16055.4,16503.3,17171.2,18082.2,18379.3,18308.3,18970.8,18405.8,20379.2,21091.5
29000,Missouri,15964.5,16867,17295.8,18553.1,20428.5,22057.9,23594.8,24902.9,26337.2,26727.7,29242.8,31422.9,32601.9,33594.7,34661.8,36253.8,36529.2,37374.8,39666.8,41679.8,42935.7,44402.7,46475.6,44084.6,48694.3,51419.7
30000,Montana,2181.8,2368.5,2540.3,2727.4,2994.3,3249.8,3449.9,3685.1,4024.5,4239.5,4499.2,4799.5,5109.6,5400.9,5635.1,5892.7,6212.3,6450.9,6889,7277.1,7656.5,8114.6,8546.2,8161.5,9154.5,9565.8
31000,Nebraska,4349.4,4653,5007.9,5464.2,6025.5,6518.7,6940.2,7466.6,8111.2,8655.3,9106.7,9635.2,9993.3,10497.5,10840.7,11185.4,11391.1,11831.9,12554.6,13413.8,13956.3,14494.9,15280.9,14682.8,16485,17530.5
32000,Nevada,3995.7,4323.3,4728.6,5267.4,5978.5,6776.4,7326.9,8204.9,8866.2,9530.7,10514.5,11195.9,11476.9,11787.6,12227,12702.4,13299.8,14266.5,15110.9,16408.5,17171.9,18153.3,19028.5,18017.6,20266.4,21300.8
33000,New Hampshire,3635,3800.1,3973.5,4255.6,4665.5,5189.7,5668,6170.9,6686.3,7281.7,7851.4,8310.4,8871.4,9258.9,9503.6,9611.3,9736.9,9938.4,10329.5,10734.8,11084.6,11656.4,12106,11372.9,12446.7,12879.6
34000,New Jersey,25730.6,27267,28412.9,29933,31912.4,35121.5,37480.9,39769,41708.9,43377.8,45793.6,48190.7,50146.7,51216.5,52151.1,54729.9,55806.9,58502.6,61863.6,65687.4,68053.7,70132.9,74014.7,70887.8,77993.6,82698.2
35000,New Mexico,4342.7,4562.1,4662.8,4789.2,5156,5579.8,5874.1,6433.5,7191.6,7519,8133.4,8953.4,9616.9,10150.6,10429.7,10749.7,10887.5,11389.5,12041.2,12383.2,12645.5,12997.7,13511.1,12923.6,14785.5,15435.1
36000,New York,64649.9,68027.1,70840.2,74549.2,79897.5,85780.4,91444.3,97033.5,100669.3,105236.7,109917.3,113239.8,118862.6,123077.8,125901.6,128082.6,132444,138243.5,142989.1,151790,158451.1,167324.8,180159.1,175302.5,190565.9,199207.5
37000,North Carolina,20338.1,21450.6,22857.9,24777.4,27212.6,29204.6,31319.6,33970.9,36159.5,38795.8,40812.6,42826.4,45212.7,47030.1,48929.3,51272.3,51382.3,53234.7,56932.4,60188.2,62471.7,65399.7,68711.7,64585.2,76368.8,80036.5
38000,North Dakota,1927.1,2033.2,2070.8,2171.1,2393,2573.6,2704.4,2907.2,3103.3,3267.7,3490.9,3725.1,4036.7,4255.7,4588.4,4793.3,5161.4,5523.5,6026.2,6327.1,6543.9,6795.5,7377.8,7061.4,7831.1,8177.8
39000,Ohio,32674.1,33999.2,35453.3,37890.7,41776,45408.9,48133.1,51749.8,55362.1,57727.7,59880.9,62097.3,65026.8,67513,69425,73031.5,75238.6,78172.4,81392.8,84832.1,87495.3,90144.9,96002.8,88941.4,97906.5,103103.2
40000,Oklahoma,8352.3,8959.3,9310.7,9837.9,10647,11508.1,12658.8,13388.1,14579.3,15335.5,16336.1,17391.1,17801.8,18491,19314.5,19998.7,20550.2,21619,22644.7,23521.6,24433.9,25432.3,26325,25082.8,28109.1,30658
41000,Oregon,8112.5,8717.4,9230.1,10107.7,11145.2,12212.9,12953.1,14131.6,15306.8,16337,17616.6,18536.1,19485.3,20409.1,21077.6,21654.6,22334.7,24011.8,26429.1,28020.3,29024.2,30234,32096.4,30439,33925.9,35499.9
42000,Pennsylvania,38897.6,40368,41777.9,44189,47800.8,51277,54337,58270.3,62226.5,65649.3,69216.9,72383.5,74565.1,78617.6,81974.9,84013.1,85715.2,88434.1,92397,96326.3,98772.4,104842.6,107837.8,102192.7,110184.2,116024.9
44000,Rhode Island,3521.9,3650.7,3719.3,3920.8,4203,4537.3,4828.6,5194.6,5461.2,5732.8,6005.5,6289.7,6522.4,6729.6,6906,6961.7,7117.6,7436.3,7804.1,8091.2,8133.9,8267.5,8674.6,8205.4,8934.9,9243.8
45000,South Carolina,9775.1,10332.2,10827.5,11675.5,12891.3,13984.1,14751.2,15852.1,16985.1,18057.9,19311.4,20538.4,21530.6,22529.2,23044.4,23407.4,23740.3,24791.3,26094.4,27505.8,28245.2,29012.1,30515.7,29261.2,33401.4,35270.3
46000,South Dakota,2097.5,2197.4,2348.5,2504.8,2735.9,3022.6,3233.9,3463.4,3824.2,4117.7,4381.4,4709.1,5010.9,5324.1,5603.3,5845.9,6050.2,6368.3,6765.3,7209.9,7549.9,8141.6,8730.2,8445.8,9334.4,9899.7
47000,Tennessee,16723.8,17095.5,17461.3,18636.4,20164.5,21658.4,22899.1,24816,26662.3,27993,29528.2,30275.9,31465.9,32746.6,33571.7,34948.7,35981.1,37097.1,39342.6,41527.3,43697.2,44421.9,45994.7,44930.2,49893,53132.4
48000,Texas,50876,54343.2,56137.1,60478.7,67470.5,74757,78897.6,84357,90289.6,95121.9,101268.8,108394.1,116011.3,122108.6,126794.5,132497.4,134694.4,141863,152013.9,158465.1,163199.1,168080.6,177710.6,170047.2,192793.2,203984.9
