state,2018,2019,2020,2021
Alabama,36.2,36.1,39,39.9
Alaska,29.5,30.5,31.9,33.5
Arizona,29.5,31.4,30.9,31.3
Arkansas,37.1,37.4,36.4,38.7
California,25.8,26.2,30.3,27.6
Colorado,23,23.8,24.2,25.1
Connecticut,27.4,29.1,29.2,30.4
Delaware,33.5,34.4,36.5,33.9
District of Columbia,24.7,23.8,24.3,24.7
Florida,30.7,27,28.4,
Georgia,32.5,33.1,34.3,33.9
Hawaii,24.9,25,24.5,25
Idaho,28.4,29.5,31.1,31.6
Illinois,31.8,31.6,32.4,34.2
Indiana,34.1,35.3,36.8,36.3
Iowa,35.3,33.9,36.5,36.4
Kansas,34.4,35.2,35.3,36
Kentucky,36.6,36.5,36.6,40.3
Louisiana,36.8,35.9,38.1,38.6
Maine,30.4,31.7,31,31.9
Maryland,30.9,32.3,31,34.3
Massachusetts,25.7,25.2,24.4,27.4
Michigan,33,36,35.2,34.4
Minnesota,30.1,30.1,30.7,32.4
Mississippi,39.5,40.8,39.7,39.1
Missouri,35,34.8,34,37.3
Montana,26.9,28.3,28.5,31.8
Nebraska,34.1,34.1,34,35.9
Nevada,29.5,30.6,28.7,31.3
New Hampshire,29.6,31.8,29.9,30.6
New Jersey,25.7,31.7,27.7,28.2
New Mexico,32.3,27.1,30.9,34.6
New York,27.6,34,26.3,29.1
North Carolina,33,34.8,33.6,36
North Dakota,35.1,34.8,33.1,35.2
Ohio,34,36.8,35.5,37.8
Oklahoma,34.8,29,36.4,39.4
Oregon,29.9,33.2,28.1,30.4
Pennsylvania,30.9,30,31.5,33.3
Rhode Island,27.7,35.4,30.1,30.1
South Carolina,34.3,33,36.2,36.1
South Dakota,30.1,36.5,33.2,38.4
Tennessee,34.4,34,35.6,35
Texas,34.8,29.2,35.8,36.1
Utah,27.8,26.6,28.6,30.9
Vermont,27.5,31.9,26.3,29
Virginia,30.4,28.3,32.2,34.2
Washington,28.7,39.7,28,28.8
West Virginia,39.5,34.2,39.1,40.6
Wisconsin,32,29.7,32.3,33.9
Wyoming,29,33.6,30.7,32
